=====================================================================================
 TOTAL PRODUCTION SPECIFICATION REPORT (COMPONENT SYSTEM v76.6) 
=====================================================================================
 PRODUCTION ROW | FACTORY SKU / ELEMENT ID  | FORMAT TYPE     | QTY (PCS) 
 row_12         | SH8-3-ST                  | HALF (0.5)      | 1         
 row_12         | SH8-71-ST                 | HALF (0.5)      | 4         
 row_12         | SH8-90-ST                 | HALF (0.5)      | 5         
 row_12         | SP-120-ST                 | HALF (0.5)      | 2         
 row_12         | SP-250-ST                 | FULL (1.0)      | 23        
 row_12         | SP-55-ST                  | HALF (0.5)      | 10        
 row_13         | LF-250-ST                 | FULL (1.0)      | 16        
 row_13         | SH8-250-ST                | FULL (1.0)      | 11        
 row_13         | SP-120-ST                 | HALF (0.5)      | 1         
 row_13         | SP-250-ST                 | FULL (1.0)      | 3         
 row_14         | LF-250-ST                 | FULL (1.0)      | 13        
 row_14         | SH8-250-ST                | FULL (1.0)      | 11        
 row_14         | SP-120-ST                 | HALF (0.5)      | 1         
 row_14         | SP-250-ST                 | FULL (1.0)      | 3         
 row_15         | LF-120-ST                 | HALF (0.5)      | 2         
 row_15         | LF-250-ST                 | FULL (1.0)      | 12        
 row_15         | SH8-124-ST                | HALF (0.5)      | 2         
 row_15         | SH8-2-ST                  | HALF (0.5)      | 3         
 row_15         | SH8-250-ST                | FULL (1.0)      | 4         
 row_15         | SP-120-ST                 | HALF (0.5)      | 1         
 row_15         | SP-250-ST                 | FULL (1.0)      | 3         
 row_16         | LF-250-ST                 | FULL (1.0)      | 13        
 row_16         | SH8-250-ST                | FULL (1.0)      | 8         
 row_16         | SP-120-ST                 | HALF (0.5)      | 1         
 row_16         | SP-250-ST                 | FULL (1.0)      | 3         
 row_17         | LF-120-ST                 | HALF (0.5)      | 2         
 row_17         | LF-250-ST                 | FULL (1.0)      | 12        
 row_17         | SH8-124-ST                | HALF (0.5)      | 2         
 row_17         | SH8-250-ST                | FULL (1.0)      | 7         
 row_17         | SP-120-ST                 | HALF (0.5)      | 1         
 row_17         | SP-250-ST                 | FULL (1.0)      | 3         
 row_18         | LF-250-ST                 | FULL (1.0)      | 13        
 row_18         | SH8-250-ST                | FULL (1.0)      | 8         
 row_18         | SP-120-ST                 | HALF (0.5)      | 1         
 row_18         | SP-250-ST                 | FULL (1.0)      | 3         
 row_19         | LF-120-ST                 | HALF (0.5)      | 2         
 row_19         | LF-250-ST                 | FULL (1.0)      | 12        
 row_19         | SH8-124-ST                | HALF (0.5)      | 2         
 row_19         | SH8-250-ST                | FULL (1.0)      | 7         
 row_19         | SP-120-ST                 | HALF (0.5)      | 1         
 row_19         | SP-250-ST                 | FULL (1.0)      | 3         
 row_20         | LF-250-ST                 | FULL (1.0)      | 13        
 row_20         | SH8-124-ST                | HALF (0.5)      | 2         
 row_20         | SH8-187-ST                | FULL (1.0)      | 7         
 row_20         | SH8-250-ST                | FULL (1.0)      | 12        
 row_20         | SH8-3-ST                  | HALF (0.5)      | 2         
 row_20         | SH8-61-ST                 | HALF (0.5)      | 2         
 row_20         | SP-120-ST                 | HALF (0.5)      | 1         
 row_20         | SP-250-ST                 | FULL (1.0)      | 3         
 row_21         | LF-140-ST                 | FULL (1.0)      | 14        
 row_21         | LF-250-ST                 | FULL (1.0)      | 12        
 row_21         | SH8-120-ST                | HALF (0.5)      | 2         
 row_21         | SH8-124-ST                | HALF (0.5)      | 2         
 row_21         | SH8-165-ST                | FULL (1.0)      | 15        
 row_21         | SH8-187-ST                | FULL (1.0)      | 7         
 row_21         | SH8-250-ST                | FULL (1.0)      | 4         
 row_21         | SH8-61-ST                 | HALF (0.5)      | 2         
 row_21         | SP-120-ST                 | HALF (0.5)      | 1         
 row_21         | SP-250-ST                 | FULL (1.0)      | 3         
 row_22         | LF-120-ST                 | HALF (0.5)      | 2         
 row_22         | LF-250-ST                 | FULL (1.0)      | 11        
 row_22         | SH8-250-ST                | FULL (1.0)      | 7         
 row_22         | SP-120-ST                 | HALF (0.5)      | 1         
 row_22         | SP-250-ST                 | FULL (1.0)      | 3         
 row_23         | LF-250-ST                 | FULL (1.0)      | 16        
 row_23         | SH8-187-ST                | FULL (1.0)      | 6         
 row_23         | SH8-250-ST                | FULL (1.0)      | 8         
 row_23         | SP-120-ST                 | HALF (0.5)      | 1         
 row_23         | SP-250-ST                 | FULL (1.0)      | 3         
 row_24         | LF-250-ST                 | FULL (1.0)      | 16        
 row_24         | SH8-1-ST                  | HALF (0.5)      | 4         
 row_24         | SH8-187-ST                | FULL (1.0)      | 7         
 row_24         | SH8-250-ST                | FULL (1.0)      | 9         
 row_24         | SP-120-ST                 | HALF (0.5)      | 1         
 row_24         | SP-250-ST                 | FULL (1.0)      | 3         
 row_25         | LF-205-ST                 | FULL (1.0)      | 6         
 row_25         | LF-250-ST                 | FULL (1.0)      | 10        
 row_25         | LF-55-ST                  | HALF (0.5)      | 6         
 row_25         | SH8-124-ST                | HALF (0.5)      | 2         
 row_25         | SH8-250-ST                | FULL (1.0)      | 10        
 row_25         | SP-120-ST                 | HALF (0.5)      | 1         
 row_25         | SP-250-ST                 | FULL (1.0)      | 3         
 row_26         | LF-225-ST                 | FULL (1.0)      | 6         
 row_26         | LF-250-ST                 | FULL (1.0)      | 10        
 row_26         | LF-55-ST                  | HALF (0.5)      | 6         
 row_26         | SH8-250-ST                | FULL (1.0)      | 8         
 row_26         | SP-120-ST                 | HALF (0.5)      | 3         
 row_26         | SP-250-ST                 | FULL (1.0)      | 10        
 row_27         | LF-250-ST                 | FULL (1.0)      | 13        
 row_27         | SH8-114-ST                | HALF (0.5)      | 10        
 row_27         | SH8-124-ST                | HALF (0.5)      | 16        
 row_27         | SP-120-ST                 | HALF (0.5)      | 1         
 row_27         | SP-250-ST                 | FULL (1.0)      | 2         
 row_28         | LF-250-ST                 | FULL (1.0)      | 13        
 row_28         | SP-250-ST                 | FULL (1.0)      | 10        
 row_29         | LF-250-ST                 | FULL (1.0)      | 13        
 row_29         | SP-120-ST                 | HALF (0.5)      | 2         
 row_29         | SP-250-ST                 | FULL (1.0)      | 9         
 row_30         | LF-250-ST                 | FULL (1.0)      | 13        
 row_30         | SP-185-ST                 | FULL (1.0)      | 4         
 row_30         | SP-250-ST                 | FULL (1.0)      | 8         
 row_30         | SP-55-ST                  | HALF (0.5)      | 3         
 row_31         | LF-250-ST                 | FULL (1.0)      | 13        
 row_31         | SP-250-ST                 | FULL (1.0)      | 11        
 row_31         | SP-55-ST                  | HALF (0.5)      | 2         
 row_32         | LF-250-ST                 | FULL (1.0)      | 7         
 row_33         | LF-250-ST                 | FULL (1.0)      | 7         
 row_34         | LF-250-ST                 | FULL (1.0)      | 7         
 row_35         | LF-250-ST                 | FULL (1.0)      | 7         
 row_36         | LF-250-ST                 | FULL (1.0)      | 7         
 row_37         | LF-250-ST                 | FULL (1.0)      | 7         
 row_38         | LF-250-ST                 | FULL (1.0)      | 7         
 row_39         | LF-250-ST                 | FULL (1.0)      | 7         
 row_40         | LF-250-ST                 | FULL (1.0)      | 7         
 row_41         | LF-250-ST                 | FULL (1.0)      | 7         
 row_42         | LF-250-ST                 | FULL (1.0)      | 7         
 row_43         | LF-250-ST                 | FULL (1.0)      | 7         
 row_44         | LF-250-ST                 | FULL (1.0)      | 7         
 row_45         | LF-250-ST                 | FULL (1.0)      | 7         
 row_46         | LF-250-ST                 | FULL (1.0)      | 7         
 row_47         | LF-250-ST                 | FULL (1.0)      | 7         
 row_48         | LF-250-ST                 | FULL (1.0)      | 7         
 row_49         | LF-250-ST                 | FULL (1.0)      | 7         
 row_50         | LF-250-ST                 | FULL (1.0)      | 7         
 row_51         | LF-250-ST                 | FULL (1.0)      | 7         
 row_52         | LF-250-ST                 | FULL (1.0)      | 7         
 row_53         | LF-250-ST                 | FULL (1.0)      | 7         
 row_54         | LF-250-ST                 | FULL (1.0)      | 7         

=====================================================================================
 МАТРИЦА ПОРЯДОВОГО РАСХОДА КИРПИЧА И ЛИТЬЯ (v76.6) 
=====================================================================================
 Номер ряда   | Фасад (шт)     | Строит (шт)    | Шамот (шт)     | Литье
-------------------------------------------------------------------------------------
 Ряд 01       | 44.0           | 46.0           | 0.0            | Литье: Нет
 Ряд 02       | 51.5           | 19.0           | 0.0            | Литье: Подвес прямой  Пп 60х27 (1 шт), Подвес прямой  Пп 60х27 (1 шт), Подвес прямой  Пп 60х27 (1 шт), Подвес прямой  Пп 60х27 (1 шт), Подвес прямой  Пп 60х27 (1 шт), Дверца_Поддувальная_250*140 (1 шт), Тоннель монтажный 250*140 (1 шт)
 Ряд 03       | 50.5           | 15.0           | 0.0            | Литье: Нет
 Ряд 04       | 50.5           | 16.0           | 0.0            | Литье: Подвес прямой  Пп 60х27 (1 шт), Подвес прямой  Пп 60х27 (1 шт), Подвес прямой  Пп 60х27 (1 шт), Подвес прямой  Пп 60х27 (1 шт), Подвес прямой  Пп 60х27 (1 шт)
 Ряд 05       | 51.5           | 15.0           | 0.0            | Литье: Нет
 Ряд 06       | 51.5           | 11.0           | 5.0            | Литье: Подвес прямой  Пп 60х27 (1 шт), Подвес прямой  Пп 60х27 (1 шт), Подвес прямой  Пп 60х27 (1 шт), Подвес прямой  Пп 60х27 (1 шт), Подвес прямой  Пп 60х27 (1 шт), Дверца_Топочная_250*210 (1 шт), Тоннель монтажный 250*210 (1 шт), Колосник 250х300 мм (1 шт)
 Ряд 07       | 50.5           | 10.0           | 0.0            | Литье: Нет
 Ряд 08       | 50.5           | 11.0           | 12.0           | Литье: Нет
 Ряд 09       | 55.5           | 30.0           | 0.0            | Литье: Нет
 Ряд 10       | 42.5           | 28.0           | 6.5            | Литье: Нет
 Ряд 11       | 43.0           | 39.5           | 0.0            | Литье: Нет
 Ряд 12       | 42.0           | 29.0           | 22.0           | Литье: Нет
 Ряд 13       | 16.0           | 3.5            | 11.0           | Литье: Нет
 Ряд 14       | 13.0           | 3.5            | 11.0           | Литье: Нет
 Ряд 15       | 13.0           | 3.5            | 6.5            | Литье: Нет
 Ряд 16       | 13.0           | 3.5            | 8.0            | Литье: Нет
 Ряд 17       | 13.0           | 3.5            | 8.0            | Литье: Нет
 Ряд 18       | 13.0           | 3.5            | 8.0            | Литье: Нет
 Ряд 19       | 13.0           | 3.5            | 8.0            | Литье: Нет
 Ряд 20       | 13.0           | 3.5            | 22.0           | Литье: Нет
 Ряд 21       | 26.0           | 3.5            | 29.0           | Литье: Нет
 Ряд 22       | 12.0           | 3.5            | 7.0            | Литье: Нет
 Ряд 23       | 16.0           | 3.5            | 14.0           | Литье: Нет
 Ряд 24       | 16.0           | 3.5            | 18.0           | Литье: Нет
 Ряд 25       | 19.0           | 3.5            | 11.0           | Литье: Нет
 Ряд 26       | 19.0           | 11.5           | 8.0            | Литье: Нет
 Ряд 27       | 13.0           | 2.5            | 13.0           | Литье: Нет
 Ряд 28       | 13.0           | 10.0           | 0.0            | Литье: Нет
 Ряд 29       | 13.0           | 10.0           | 0.0            | Литье: Нет
 Ряд 30       | 13.0           | 13.5           | 0.0            | Литье: Нет
 Ряд 31       | 13.0           | 12.0           | 0.0            | Литье: Нет
 Ряд 32       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 33       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 34       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 35       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 36       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 37       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 38       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 39       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 40       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 41       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 42       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 43       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 44       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 45       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 46       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 47       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 48       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 49       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 50       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 51       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 52       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 53       | 7.0            | 0.0            | 0.0            | Литье: Нет
 Ряд 54       | 7.0            | 0.0            | 0.0            | Литье: Нет

-------------------------------------------------------------------------------------
 ПЕЧНОЕ ЛИТЬЕ И ИНЖЕНЕРНОЕ ОБОРУДОВАНИЕ (ПОШТУЧНЫЙ УЧЕТ)
-------------------------------------------------------------------------------------
 Внешняя оболочка                                   | 5                             
 Гайка м10                                          | 6                             
 Группа13                                           | 2                             
 Дверца_Поддувальная_250*140                        | 1                             
 Дверца_Топочная_250*210                            | 1                             
 Колосник 250х300 мм                                | 1                             
 Компонент                                          | 4                             
 Мойка                                              | 1                             
 Плита для казана 512х512 мм                        | 1                             
 Подвес прямой  Пп 60х27                            | 25                            
 Различие                                           | 4                             
 Решетка гриль                                      | 1                             
 Тоннель монтажный 250*140                          | 1                             
 Тоннель монтажный 250*210                          | 1                             
 Труба d 120 L = 0,25 м, 1,0 мм нержавейка          | 1                             
 Труба d 120 L = 0,5 м, 1,0 мм нержавейка           | 1                             
 Труба d 120 L = 1,0 м, 1,0 мм нержавейка           | 1                             
 Труба отвод 90°d 120 L = 1,0 м, 1,0 мм нержавейка  | 3                             
 Уголок 50/510                                      | 5                             
 Уголок 50/780                                      | 2                             
 Уголок 50/910                                      | 8                             
 Уголок 63/510                                      | 1                             
 Шайба увеличенная м10                              | 6                             
 Шампур нержавейка                                  | 5                             
 Шибер ЗВП-2                                        | 2                             
 Шпилька м10/1000                                   | 3                             

=====================================================================================
 ИТОГОВЫЙ СВОДНЫЙ РАСХОД МАТЕРИАЛОВ 
=====================================================================================
 LF (Кирпич 1нф лицевой)                       :         1024 pcs
 SP (Кирпич 1нф строительный полнотелый)       :          374 pcs
 SH8 (Кирпич шамотный ШБ-8)                    :          228 pcs
-------------------------------------------------------------------------------------
 ПРАКТИЧЕСКИЙ РАСХОД СМЕСЕЙ 
-------------------------------------------------------------------------------------
 Глиняно-песчаная смесь (красный кирпич * 1.1 кг) :     1538.9 кг
 Огнеупорный мертель (шамотный кирпич * 0.6 кг) :      136.8 кг
=====================================================================================
